gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,some college,free/reduced,none,71,69,69
female,group C,some college,free/reduced,completed,92,100,97
male,group C,some high school,standard,completed,51,52,49
male,group D,high school,free/reduced,none,58,55,52
male,group D,some college,standard,completed,78,86,84
female,group B,some college,standard,none,74,78,76
male,group E,some college,free/reduced,completed,63,72,74
male,group D,some college,standard,none,59,60,60
male,group E,associate's degree,free/reduced,completed,66,72,75
female,group D,associate's degree,free/reduced,none,64,58,63
male,group C,associate's degree,standard,none,40,42,42
male,group C,associate's degree,free/reduced,none,79,86,88
male,group E,master's degree,standard,completed,99,97,96
male,group E,some high school,standard,completed,71,79,77
female,group A,high school,standard,completed,83,86,86
male,group A,some high school,free/reduced,completed,70,87,79
female,group C,associate's degree,standard,none,84,77,74
female,group D,bachelor's degree,standard,none,85,80,91
female,group E,high school,free/reduced,none,53,60,56
male,group B,bachelor's degree,free/reduced,none,79,83,75
female,group C,some high school,free/reduced,none,67,64,75
male,group C,bachelor's degree,standard,none,73,75,72
female,group E,high school,standard,none,49,48,51
female,group D,some high school,standard,none,69,59,74
female,group D,some college,free/reduced,none,44,52,49
female,group C,high school,standard,none,72,62,52
female,group C,high school,standard,completed,62,59,66
female,group B,high school,free/reduced,completed,58,59,46
female,group A,associate's degree,standard,completed,100,100,100
female,group E,some college,free/reduced,none,72,88,80
male,group D,high school,free/reduced,none,83,97,82
male,group E,associate's degree,free/reduced,completed,59,63,50
female,group E,associate's degree,standard,none,72,80,80
female,group C,high school,standard,none,61,49,51
female,group D,some college,free/reduced,none,59,53,63
male,group E,some high school,free/reduced,none,53,34,46
female,group D,high school,free/reduced,none,72,86,70
male,group B,associate's degree,standard,none,61,77,66
male,group C,high school,free/reduced,completed,75,81,81
male,group B,some college,free/reduced,none,70,71,63
male,group E,associate's degree,free/reduced,none,94,90,100
male,group C,some high school,free/reduced,completed,34,54,46
female,group B,some college,free/reduced,none,77,87,67
female,group D,high school,standard,none,84,72,87
female,group C,master's degree,standard,completed,70,76,70
female,group C,some college,standard,none,90,81,76
female,group B,associate's degree,standard,none,79,77,63
male,group D,some college,standard,none,76,71,75
female,group C,some high school,standard,none,56,56,46
female,group D,associate's degree,standard,none,69,63,61
male,group C,master's degree,standard,completed,100,100,100
female,group E,associate's degree,standard,none,80,78,72
male,group C,associate's degree,free/reduced,none,66,79,74
female,group C,bachelor's degree,free/reduced,none,54,62,48
male,group E,high school,standard,none,57,52,51
female,group C,high school,free/reduced,none,76,74,75
female,group B,associate's degree,standard,none,60,61,49
male,group A,some college,standard,none,60,66,64
male,group D,bachelor's degree,standard,none,75,79,77
male,group D,bachelor's degree,standard,none,64,87,80
male,group D,high school,free/reduced,none,66,68,51
male,group B,high school,free/reduced,completed,68,77,88
male,group B,associate's degree,standard,none,81,78,82
male,group A,high school,standard,none,76,62,74
male,group C,bachelor's degree,standard,none,70,62,67
